dv meter cubed,Work_adiabatic jouls
0.1,-0.0
0.10202020202020202,-49.68664525083576
0.10404040404040404,-98.01461150508577
0.10606060606060606,-145.04637378299518
0.10808080808080808,-190.84041384061993
0.11010101010101012,-235.451544396197
0.11212121212121212,-278.9312016329635
0.11414141414141415,-321.32770959182653
0.11616161616161617,-362.68651959969003
0.1181818181818182,-403.05042747919987
0.12020202020202021,-442.45977094234826
0.12222222222222223,-480.9526092750197
0.12424242424242425,-518.5648871647234
0.12626262626262627,-555.3305843033502
0.1282828282828283,-591.2818522056914
0.1303030303030303,-626.4491395183577
0.13232323232323234,-660.861306949046
0.13434343434343435,-694.5457328197631
0.13636363636363638,-727.5284101371014
0.1383838383838384,-759.8340359757137
0.14040404040404042,-791.4860938860121
0.14242424242424245,-822.5069299621282
0.14444444444444446,-852.9178231400791
0.14646464646464646,-882.7390502376467
0.1484848484848485,-911.9899461957613
0.15050505050505053,-940.6889599353281
0.15252525252525254,-968.8537062026888
0.15454545454545457,-996.501013740669
0.15656565656565657,-1023.6469700898496
0.1585858585858586,-1050.3069632958923
0.16060606060606064,-1076.4957207729417
0.16262626262626265,-1102.2273455500872
0.16464646464646465,-1127.5153501071563
0.16666666666666669,-1152.3726879875514
0.16868686868686872,-1176.8117833591402
0.17070707070707072,-1200.8445586791813
0.17272727272727273,-1224.4824606057211
0.17474747474747476,-1247.7364842856532
0.1767676767676768,-1270.6171961386074
0.17878787878787883,-1293.1347552458155
0.18080808080808083,-1315.2989334440501
0.18282828282828284,-1337.1191342165334
0.18484848484848487,-1358.6044104652342
0.1868686868686869,-1379.763481242209
0.1888888888888889,-1400.6047475114776
0.19090909090909092,-1421.1363070073046
0.19292929292929295,-1441.3659682496275
0.19494949494949498,-1461.3012637727163
0.196969696969697,-1480.9494626188728
0.19898989898989902,-1500.3175821450645
0.20101010101010103,-1519.4123991868294
0.20303030303030306,-1538.2404606205037
0.2050505050505051,-1556.8080933618248
0.2070707070707071,-1575.12141383621
0.2090909090909091,-1593.1863369534726
0.21111111111111114,-1611.0085846174193
0.21313131313131317,-1628.5936937986203
0.21515151515151518,-1645.9470241966892
0.21717171717171718,-1663.0737655165674
0.21919191919191922,-1679.9789443816542
0.22121212121212125,-1696.6674309050657
0.22323232323232328,-1713.1439449388768
0.2252525252525253,-1729.413062019884
0.2272727272727273,-1745.4792190291928
0.22929292929292933,-1761.3467195818191
0.23131313131313136,-1777.0197391614292
0.23333333333333336,-1792.502330014385
0.2353535353535354,-1807.798425816338
0.2373737373737374,-1822.9118461238136
0.23939393939393944,-1837.8463006224079
0.24141414141414144,-1852.6053931825313
0.24343434343434348,-1867.1926257329405
0.24545454545454548,-1881.61140196168
0.24747474747474751,-1895.865030853478
0.24949494949494952,-1909.9567300720855
0.2515151515151516,-1923.8896291955577
0.2535353535353536,-1937.6667728119844
0.2555555555555556,-1951.2911234827593
0.2575757575757576,-1964.765564580042
0.2595959595959596,-1978.0929030046987
0.26161616161616164,-1991.2758717906434
0.26363636363636367,-2004.317132601162
0.2656565656565657,-2017.219278122487
0.26767676767676774,-2029.9848343595986
0.26969696969696977,-2042.616262838954
0.27171717171717175,-2055.1159627225757
0.2737373737373738,-2067.4862728377047
0.2757575757575758,-2079.7294736259737
0.2777777777777778,-2091.847789015866
0.2797979797979798,-2103.8433882220143
0.28181818181818186,-2115.7183874746834
0.2838383838383839,-2127.4748516826508
0.2858585858585859,-2139.1147960324884
0.28787878787878796,-2150.640187527104
0.28989898989898993,-2162.0529464662736
0.29191919191919197,-2173.3549478717237
0.29393939393939394,-2184.5480228592114
0.295959595959596,-2195.6339599599346
0.297979797979798,-2206.6145063934555
0.30000000000000004,-2217.491369294244
